,title,combined
101,USS Indianapolis Men of Courage,Action  Adventure  NicolasCage TomSizemore ThomasJane MattLanter JamesRemar BrianPresley JohnnyWactor AdamScottMiller CodyWalker CallardHarris USS Indianapolis Men of Courage After becoming stranded in the Philippine Sea during World War II a tenacious Navy crew faces a dire lack of supplies and a string of shark attacks
102,A Wrinkle in Time,Children  Family Movies  StormReid OprahWinfrey ReeseWitherspoon MindyKaling DericMcCabe LeviMiller ChrisPine GuguMbatha-Raw ZachGalifianakis MichaelPeña BellamyYoung AndréHolland WillMcCormack RowanBlanchard DanielMacPherson A Wrinkle in Time Years after their father disappears Meg and her younger brother Charles Wallace cross galaxies on a quest to save him from the heart of darkness
103,White Island,Comedies Independent Movies Thrillers  LyndonOgbourne BillyZane BillyBoyd JoelDommett ElliotGleave GalaGordon DarrenDay OwainArthur CraigGazey BenCura White Island Returning to Ibiza after several years walking the straight and narrow in London Connor falls back in with a criminal crowd Its like he never left
104,Inside Man Most Wanted,Action  Adventure  AmlAmeen RheaSeehorn RoxanneMcKee UrsRechn AkshayKumar TanyavanGraan AndreJacobs SvenRuygrok Inside Man Most Wanted A hotshot NYPD negotiator butts heads with the FBI and meets his match in a meticulous criminal mastermind as she attempts to rob the Federal Reserve
105,Jeff Dunham Beside Himself,StandUp Comedy  JeffDunham Jeff Dunham Beside Himself Jeff Dunham takes the stage in Dallas with his old pals Peanut Walter José Jalapeño Bubba J and Achmed to poke fun at himself and American culture
106,China Salesman,Action  Adventure International Movies  LiDongXue MikeTyson StevenSeagal JanickeAskevold LiAi EriqEbouaney ClovisFouin WangZijian China Salesman A Chinese engineer travels to a wartorn African country to rebuild its telecommunications but instead finds massive corruption and explosive danger
107,Swearnet The Movie,Comedies International Movies  MikeSmith JohnPaulTremblay RobbWells PatrickRoach MishaelMorgan SarahJurgens ShannonLeroux DanaWoods HowardJerome TomGreen Swearnet The Movie After losing a TV network deal the Trailer Park Boys launch their own Internet series but they soon confront personal and creative differences
108,The Bar,Comedies Horror Movies International Movies  BlancaSuárez MarioCasas CarmenMachi SecundelaRosa JaimeOrdoñez TerelePávez JoaquínCliment AlejandroAwada The Bar Strangers holed up in a Madrid bar after witnessing a murder begin to turn on each other as panic sets in and the body count rises
109,Manmadhudu 2,Comedies Dramas International Movies  NagarjunaAkkineni RakulPreetSingh Lakshmi RaoRamesh VennelaKishore Jhansi DevadarshiniChetan Nishanti Manmadhudu 2 Under pressure to marry a perennial bachelor hires a much younger woman to act as his fiancée but her bond with his family throws his plan for a loop
110,Team Kaylie,Kids TV TV Comedies  BryanaSalaz AlisonFernandez SymeraJackson ElieSamouhi KaiCalhoun ElizaPryor RosaBlasi NicoleSullivan DavidGridley Team Kaylie After a brush with the law teen celebrity Kaylie Konrad swaps social stardom for courtordered chaos as a middle school wilderness club leader
111,Under the Eiffel Tower,Comedies Independent Movies Romantic Movies  MattWalsh JudithGodreche ReidScott MichaelaWatkins DavidWain GaryCole Under the Eiffel Tower An American man in the midst of a midlife crisis travels to the French countryside to find a new lease on life
112,Iliza Shlesinger Confirmed Kills,StandUp Comedy  IlizaShlesinger Iliza Shlesinger Confirmed Kills The standup sensation tackles TVs Shark Tank what it means to be a woman and how to deal with the lawless party goblin that lives in us all
113,BONDING,TV Comedies TV Dramas  ZoeLevin BrendanScannell MicahStock TheoStockman AlexHurt D'ArcyCarden GabrielleRyan CharlesGould BONDING A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant
114,Do Paise Ki Dhoop Chaar Aane Ki Baarish,Dramas Independent Movies International Movies  ManishaKoirala RajitKapoor SanajNaval RajendraGupta SuhaasKhandke NassarAbdulla SaurabhDubey UshaJadhav AshwinKaushal MilindSoman Do Paise Ki Dhoop Chaar Aane Ki Baarish When a sex worker hires a gay songwriter to care for her disabled son the ensuing bonds that form offer a complex portrayal of love and family
115,20 Feet From Stardom,Documentaries Music  Musicals  DarleneLove MerryClayton LisaFischer TátaVega ClaudiaLennear JudithHill BruceSpringsteen MickJagger StevieWonder Sting BetteMidler CissyHouston SherylCrow TataVega 20 Feet From Stardom Winner of the 2014 Academy Award for Best Documentary Feature this film takes a look at the world of backup vocalists and the legends they support
116,In Darkness,Independent Movies International Movies Thrillers  NatalieDormer EdSkrein EmilyRatajkowski NeilMaskell JanBijvoet JamesCosmo JoelyRichardson In Darkness A blind pianist fears for her life after the suspicious death of her neighbor the daughter of a businessman accused of war crimes
117,Gaga Five Foot Two,Documentaries Music  Musicals  LadyGaga Gaga Five Foot Two Follow pop provocateur Lady Gaga as she releases a new album preps for her Super Bowl halftime show and confronts physical and emotional struggles
118,The Bad Batch,Dramas Independent Movies Thrillers  SukiWaterhouse JasonMomoa KeanuReeves JimCarrey GiovanniRibisi YolondaRoss The Bad Batch Banished to a wasteland of undesirables a young woman struggles to find her feet among a drugsoaked desert society and an enclave of cannibals
119,SMOSH The Movie,Comedies  IanHecox AnthonyPadilla JennaMarbles GraceHelbig HarleyMorenstein JillianNelson BrittanyRoss MichaelIanBlack SteveAustin SMOSH The Movie To keep his teen crush from spotting him in an embarrassing YouTube video Anthony and his friend Ian must enter the virtual world and alter the clip
120,King of Boys,Dramas International Movies  SolaSobowale AdesuaEtomi RemilekunSafaru iLLBLISS ToniTones PaulSambo JideKosoko SharonOoja King of Boys When a powerful businesswomans political ambitions are threatened by her underworld connections the ensuing power struggle could cost her everything
121,Merry Men The Real Yoruba Demons,Comedies International Movies  RamseyNouah JimIyke AyoMakun Falz RichardMofe-Damijo IretiolaDoyle DamilolaAdegbite RosalineMeurer JideKosoko AliNuhu SegunArinze FrancisDuru Merry Men The Real Yoruba Demons Four of the richest bachelors in Abuja Nigeria enjoy a life of fast cars palatial homes and female attention while concealing their true activities
122,Sarahs Key,Dramas International Movies  AidanQuinn KristinScottThomas FrédéricPierrot MichelDuchaussoy DominiqueFrot NielsArestrup MélusineMayance GisèleCasadesus NatashaMashkevich Sarahs Key Paris 1942 To protect her brother from the police arresting Jewish families a young girl hides him away promising to come back for him
123,The Wedding Party 2 Destination Dubai,Comedies International Movies Romantic Movies  EnyinnaNwigwe DaniellaDown BankyWellington AdesuaEtomi SomkeleIyamah IretiolaDoyle SolaSobowale MichaelDePinna LynitaCrofford PatienceOzokwor The Wedding Party 2 Destination Dubai In this sequel to the 2016 hit The Wedding Party a couples date night ends in an accidental proposal sparking a series of chaotic family events
124,Vagabond,International TV Shows Korean TV Shows TV Action  Adventure  LeeSeung-gi BaeSuzy ShinSung-rok MoonJung-hee BaekYoon-sik MoonSung-keun LeeGyoung-young LeeKi-young KimMin-jong JungMan-sik HwangBo-ra Vagabond When his nephew dies in a plane crash stunt man Cha Dalgeon resolves to find out what happened with the help of covert operative Go Haeri
125,DRAGON PILOT Hisone  Masotan,Anime Series International TV Shows  MisakiKuno TomoyoKurosawa MakiKawase SatomiArai KaoriNazuka RomiPark YukiKaji YukitoshiTokumoto RieKugimiya JunichiSuwabe JoujiNakata DRAGON PILOT Hisone  Masotan Recently stationed Air SelfDefense Force rookie Hisone Amakasu is chosen by a dragon concealed within Gifu Air Base to be his pilot
126,Hilda,Kids TV  BellaRamsey AmeerahFalzon-Ojo OliverNelson DaisyHaggard RasmusHardiker Hilda Fearless freespirited Hilda finds new friends adventure and magical creatures when she leaves her enchanted forest home and journeys to the city
127,Maniac,TV Comedies TV Dramas TV Mysteries  EmmaStone JonahHill JustinTheroux SallyField GabrielByrne SonoyaMizuno JuliaGarner BillyMagnussen JemimaKirke Maniac Two struggling strangers connect during a mindbending pharmaceutical trial involving a doctor with mother issues and an emotionally complex computer
128,Quincy,Documentaries Music  Musicals  QuincyJones Quincy This documentary profiles music and culture icon Quincy Jones offering unprecedented access to his private life and stories from his unparalleled career
129,Rafinha Bastos Ultimatum,StandUp Comedy  RafinhaBastos Rafinha Bastos Ultimatum An offcolor joke nearly cost him everything Brazilian comic Rafinha Bastos talks about that and much more from his divorce to finding love again
130,The Good Cop,Crime TV Shows TV Comedies TV Dramas  TonyDanza JoshGroban MonicaBarbaro IsiahWhitlockJr. The Good Cop When hes not solving murders a pathologically honest detective tries to keep an eye on his crooked but kindhearted dad
131,Between Two Ferns The Movie,Comedies  ZachGalifianakis LaurenLapkus RyanGaul JiavaniLinayao WillFerrell Between Two Ferns The Movie Armed with awkward questions and zero selfawareness Zach Galifianakis hits the road to find famous interview subjects for his nobudget talk show
132,Criminal France,Crime TV Shows International TV Shows TV Dramas  MargotBancilhon LaurentLucas StéphaneJobert AnneAzoulay MhamedArezki SaraGiraudeau NathalieBaye JérémieRenier Criminal France Secrets emerge and entire cases unravel inside a police interview room in Paris where suspects and investigators face off in an intricate dance
133,Criminal Germany,Crime TV Shows International TV Shows TV Dramas  EvaMeckbach SylvesterGroth FlorenceKasumba PeterKurth ChristianBerkel NinaHoss ChristianKuchenbuch JonathanBerlin DenizArora Criminal Germany In the interview room detectives go headtohead with suspects and try to get to the truth  even if it means breaking the rules and risking it all
134,Criminal Spain,Crime TV Shows International TV Shows SpanishLanguage TV Shows  EmmaSuárez JorgeBosch ÁlvaroCervantes CarmenMachi InmaCuesta EduardFernández MaríaMorales JoséÁngelEgido DanielChamorro JaviColl CarlosManuelDíaz NuriaMencía MiloTaboada Criminal Spain Psychological games abound between detectives and suspects in a tense interrogation room where the search for answers sometimes comes at a moral cost
135,Criminal UK,British TV Shows Crime TV Shows International TV Shows  KatherineKelly LeeIngleby MarkStanley RochendaSandall ShubhamSaraf NicholasPinnock DavidTennant HayleyAtwell YoussefKerkour Clare-HopeAshitey IsabellaLaughland Criminal UK Within the walls of an interrogation room and with time running out London investigators go after three suspects each accused of a grievous crime
136,Daddy Issues,Dramas Independent Movies LGBTQ Movies  MadisonLawlor MontanaManning AndrewPifko MonteMarkham KamalaJones JodiCarolHarrison SethCassell RonnieClark LissaDanshaw J.J.Hawkins Daddy Issues Maya finally hooks up with her online dream girl only to discover shes deeply involved with an older sugar daddy  a man Maya knows all too well
137,Inside Bills Brain Decoding Bill Gates,Docuseries Science  Nature TV  BillGates Inside Bills Brain Decoding Bill Gates Take a trip inside the mind of Bill Gates as the billionaire opens up about those who influenced him and the audacious goals hes still pursuing
138,The Hockey Girls,International TV Shows TV Comedies TV Dramas  IriadelRío NoraNavas JosepLinuesa NatàliaBarrientos DèliaBrufau YasminaDrissiSales JúliaGibert MireiaOriol AsiaOrtegaLeiva ClaudiaRiera MireiaAixalà JuliFàbregas ÀgataRoca MarcClotet The Hockey Girls The passionate members of a girls roller hockey team chase down victories in the rink while striving to make time for school family and romance
139,Travel Mates 2,Comedies International Movies  OğuzhanKoç İbrahimBüyükak EzgiEyüboğlu OlgunToker KadirPolatçi AycanKoptur BaharŞahin KıvançBaranArslan Travel Mates 2 When struggling singer Onur decides to return to his old job incurable klutz Şeref organizes a surprise tour full of pitfalls and mishaps
140,True Tricky Treat Day,Children  Family Movies  MichelaLuci JamieWatson EricPeterson AnnaClaireBartlam NicolasAqui CoryDoran JulieLemieux DerekMcGrath True Tricky Treat Day Its up to True and her friends to save the day when a hungry Yeti sneaks a forbidden treat and fills the kingdom with Howling Greenies
141,Two Sentence Horror Stories,TV Horror Teen TV Shows  NicoleKang JimParrack TaraPacheco ChristopherShyer KimberleyWong WaiChingHo GretaQuispe ZariaDegenhardt UlySchlesinger KateJenningsGrant AleyseShannon GuillermoArribas JaidenSmith PepperBinkley MikelleWright-Matos MelindaMo Two Sentence Horror Stories This anthology series of terror features diverse characters facing primal fears in spinechilling situations that stretch past daily routine
